,,,X,Deviation from mean,Absolute deviation from mean,Squared Deviation from mean,,,,,,
,,,MPG.highway,X-mean,|X-mean|,(X-mena)^2,,,,,,
,,,31,3.6,3.6,12.96,,,,,,
,,,25,-2.4,2.4,5.76,Max,36,,,Distance(km),Weight(km)
,,,26,-1.4,1.4,1.96,,,,,48,78
,,,26,-1.4,1.4,1.96,Min,20,,,49,94
,,,30,2.6,2.6,6.76,,,,,82,73
,,,31,3.6,3.6,12.96,Range,16,,,52,10
,,,28,0.6,0.6,0.36,,,,,68,70
,,,25,-2.4,2.4,5.76,Q1,25,,,,
,,,27,-0.4,0.4,0.16,Q2,26.5,,,,
,,,25,-2.4,2.4,5.76,Q3,29.25,,std,,
,,,25,-2.4,2.4,5.76,,,,mean,59.8,
,,,36,8.6,8.6,73.96,QD,16.75,,,,
,,,34,6.6,6.6,43.56,Coefficient of variation,The rati o of sd and mean,,,,
,,,28,0.6,0.6,0.36,CV,13.22961238,,,,
,,,29,1.6,1.6,2.56,,,,,,
,,,23,-4.4,4.4,19.36,,,,,,
,,,20,-7.4,7.4,54.76,,,,,,
,,,26,-1.4,1.4,1.96,,,,,,
,,,25,-2.4,2.4,5.76,,,,,,
,,,28,0.6,0.6,0.36,,,,,,
,,,,,,,,,,,,
,,Mean,27.4,,,Variance,Std Deviance,,,,,
,,Median,26.5,,,13.14,3.624913792,,,,,
,,Mode,,,,,,,,,,
,,,,,,,,,,,,
,,skewness,0.535857082,positive skew,,,,,,,,
,,,,with moderate,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,eg1,eg2,eg3,eg4,,,,,,
,,,10,2,5,2,,,,,,
,,,2,4,10,3,,,,,,
,,,52,6,15,4,,,,,,
,,,32,3,20,5,,,,,,
,,,68,8,25,6,,,,,,
,,,20,4,30,5,,,,,,
,,,31,5,35,4,,,,,,
,,,24,3,40,3,,,,,,
,,,54,2,45,2,,,,,,
,,,34,4,50,1,,,,,,
,,,0.283236262,0.9981591,0,0,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kurtosis,,,-0.508932976,0.971951039,-1.2,-0.895238095,,,,,,
